i
you
jerry
the
a
it
george
to
elaine
that
kramer
what
do
and
of
is
in
this
me
he
no
know
oh
my
on
yeah
well
we
have
so
for
was
with
just
not
are
they
like
got
get
your
all
there
be
did
she
out
hey
right
about
here
up
go
how
think
at
na
see
but
if
him
can
her
going
why
one
ca
uh
really
want
now
gon
could
good
would
come
look
who
tell
back
an
his
let
had
yes
some
take
from
guy
where
something
little
newman
very
time
mean
when
say
does
man
never
were
should
over
been
because
thing
down
alright
then
okay
doing
too
off
them
hi
people
as
ta
maybe
make
way
these
anything
woman
said
am
any
call
hello
car
give
sorry
big
sure
need
frank
susan
those
even
by
wait
great
much
morty
two
has
huh
more
or
ah
nothing
will
nice
put
told
ya
us
into
new
ever
talk
helen
around
thought
day
other
believe
love
again
getting
night
work
listen
friend
wan
happened
god
ha
show
whole
still
kind
better
first
talking
bad
only
boy
stop
thank
lot
name
estelle
last
please
life
our
ask
always
feel
hear
coffee
long
find
apartment
money
guess
place
fine
thanks
than
course
move
someone
help
years
went
anyway
three
wrong
saw
seen
excuse
made
second
peterman
looking
away
problem
their
care
mind
doctor
hell
coming
things
next
meet
another
guys
keep
left
idea
home
today
before
everything
ok
head
pretty
job
remember
eat
must
through
having
phone
funny
actually
wanted
same
um
understand
every
room
gave
use
old
house
after
else
puddy
trying
jack
sit
tonight
called
five
real
might
took
dollars
later
father
pick
person
wo
minutes
face
number
friends
heard
seinfeld
mother
looks
office
came
done
minute
together
being
door
movie
supposed
try
check
leave
wear
stuff
wants
lloyd
taking
baby
business
costanza
says
deal
walk
matter
tomorrow
tv
watch
live
hold
saying
anyone
party
dinner
open
enough
somebody
used
everybody
crazy
thinking
best
once
street
morning
may
women
date
front
parents
hand
making
beautiful
hundred
bring
happy
steinbrenner
myself
ready
already
pay
bathroom
read
world
book
knew
forget
probably
sex
bye
buy
start
wearing
hate
game
wow
ten
table
building
hair
four
anymore
own
few
stay
stupid
comes
found
goes
nobody
under
yourself
jimmy
lost
happen
buddy
men
thousand
ahead
store
such
kid
joe
sir
met
days
week
late
lunch
turn
mine
hard
hit
quite
tim
working
end
stand
most
sitting
jackie
run
side
telling
anybody
jacket
meeting
leo
ago
girl
point
story
fact
bit
many
sleep
dead
which
goin
couple
break
clothes
waiting
keys
yet
hours
change
six
water
whatever
shirt
year
while
mickey
play
hot
knows
asked
hands
dog
everyone
trouble
without
top
lippman
piece
plane
wilhelm
set
kidding
food
shut
each
close
makes
city
outta
club
jane
behind
exactly
son
almost
donna
least
question
mr
tickets
half
bought
gone
picture
shop
different
smell
married
important
difference
moving
worry
kill
poppie
soup
ho
ray
line
sick
drive
clerk
started
nina
fun
tony
free
machine
uncle
running
since
both
eh
russell
keith
drink
relationship
twenty
maestro
kruger
times
bob
hospital
gets
pants
audrey
naked
nah
bucks
watching
mail
sounds
able
ticket
part
hope
word
hour
yours
cut
york
waitress
calling
town
high
chicken
bet
thinks
easy
miss
eating
kinda
doin
paper
sometimes
either
until
broke
forgot
damn
dad
true
favor
bed
wish
sally
card
rest
wedding
cold
hat
giving
shoes
air
box
lady
cake
park
rachel
test
glasses
bania
perfect
driver
yesterday
fire
afraid
bag
hurt
throw
walking
hoyt
aw
manager
fight
tried
seems
coat
seeing
mom
looked
liked
outside
between
couch
order
window
ahh
reason
likes
restaurant
living
case
talked
voice
john
clean
family
ohh
school
carol
cab
leaving
taken
chinese
seat
terrible
shot
worked
soon
ooh
along
fantastic
felt
mike
taste
movies
sell
though
pen
shower
gum
ride
boyfriend
completely
david
kevin
jake
nose
seven
kids
takes
news
step
full
police
sid
pull
playing
bald
michael
weekend
spot
pop
heh
seem
bar
busy
chance
fifty
feeling
special
drop
conversation
against
body
mention
idiot
finally
gift
mistake
tape
space
hmm
alone
also
send
human
girlfriend
means
parking
lives
cynthia
izzy
sign
sound
clown
mmm
ball
mouth
super
its
wha
fault
cool
notice
works
interesting
inside
gim
happens
situation
eye
catch
boss
changed
small
benes
touch
deena
birthday
happening
upset
rabbi
worst
short
uhm
calls
problems
dunno
wendy
steve
friday
strange
scene
georgie
hang
seats
fred
katie
dating
ladies
fish
black
interested
vanessa
speak
driving
absolutely
sort
brett
comfortable
months
todd
possible
white
weeks
christmas
amazing
eight
act
babu
whoa
wife
toilet
pitt
phil
yep
flight
trip
salad
sidra
caught
kiss
red
cleaning
floor
aaron
ones
stan
obviously
road
salesman
cause
wonderful
doorman
suit
lucky
chair
amy
brought
message
company
rock
fired
unbelievable
visit
carl
month
nine
far
moment
gina
drake
feet
reading
buying
toby
huge
pizza
market
pie
eyes
wonder
bus
rick
class
vandelay
fat
control
across
serious
roy
cup
cosmo
pam
gail
nuts
using
blood
nana
gwen
secretary
ridiculous
yea
bra
sold
noreen
welcome
owe
enters
lose
pleasure
missed
list
candy
killed
die
gary
cop
willie
turned
kept
joel
standing
spend
afternoon
van
gettin
florida
middle
soda
ice
cost
suppose
pair
sense
glad
nervous
accident
hotel
sweet
bubble
enzo
fast
stopped
country
definitely
donald
ran
secret
guard
key
ben
wondering
gentlemen
personal
death
entire
sweater
during
silvio
stole
fruit
lois
bother
imagine
west
nbc
leg
poor
marisa
pilot
enjoy
neck
write
cousin
airport
cars
putting
lie
plans
